Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph
s053,u,342.42550210314494,1077.2731027834775,2929.4088580950092,348.9382560138459,1037.0150389910716,3028.307551301416,330.21671739052925,1205.990630685769,3081.228663849843,Female,DIMEx100,4.864,4.939,textgrids/dime/s05348.TextGrid,0.07500000000000018,4.33,5.057,asignatura,False,False,t,r(
s053,a,963.8822764529814,1793.0713561544485,3198.42780926124,1170.888162913963,1815.352342312039,3144.5832791991443,943.6636774881814,1937.2127906483693,3251.897984679624,Female,DIMEx100,4.98,5.057,textgrids/dime/s05348.TextGrid,0.07699999999999996,4.33,5.057,asignatura,False,True,r(,.sil
s053,e,529.2773704982316,2262.0171989870173,2948.4313920323884,447.7669442662125,2312.071292477577,2942.1817284215063,617.7693398905494,2194.8680682833265,2945.1946579029573,Female,DIMEx100,0.152,0.24,textgrids/dime/s05349.TextGrid,0.088,0.06,0.24,qué,False,True,k,e
s053,e,583.3312864071838,2151.0170907175016,3099.4033374505757,655.5943621007314,2121.2967344003328,3052.2402591846144,537.1640551552589,1996.0961929780913,3171.3294361883914,Female,DIMEx100,0.24,0.349,textgrids/dime/s05349.TextGrid,0.10899999999999999,0.24,0.437,es,True,False,e,s
s053,e,597.2723427906147,1882.3840946314463,3016.763835157553,541.4239202998933,1849.5097116590046,3046.9458509252972,568.0078889516585,1810.0664432057251,3023.7084122289943,Female,DIMEx100,0.437,0.494,textgrids/dime/s05349.TextGrid,0.056999999999999995,0.437,0.526,el,True,False,s,l
s053,o,471.85697676891766,1282.0028468633568,1872.0424710684892,453.2900404587042,1256.3993363669424,1837.500976361168,472.7098230451766,1262.6610950017473,2090.8870434643545,Female,DIMEx100,0.619,0.67,textgrids/dime/s05349.TextGrid,0.051000000000000045,0.526,0.978,programa,False,False,p,r(
s053,a,762.4278652940598,1640.0309870502406,3056.087529950119,720.8910155566333,1653.8659832642084,3067.657639412657,755.7174613532941,1523.1414237831477,3135.8781271805465,Female,DIMEx100,0.786,0.843,textgrids/dime/s05349.TextGrid,0.05699999999999994,0.526,0.978,programa,False,False,r(,m
s053,a,862.6672839917096,1731.50505206273,3201.7248235398833,882.3218838071451,1672.405609042563,3197.803982863211,824.3188757131537,1743.9322016000901,3210.8571808026195,Female,DIMEx100,0.912,0.978,textgrids/dime/s05349.TextGrid,0.06599999999999995,0.526,0.978,programa,False,True,m,d
s053,e,512.0629932104497,2033.5975486041361,3251.9197411190557,614.3614177106426,1995.2764324293432,3258.312887000619,457.69102572405444,2177.5316058778094,3192.9872700734027,Female,DIMEx100,1.016,1.082,textgrids/dime/s05349.TextGrid,0.06600000000000006,0.978,1.082,de,False,True,d,b
s053,i,334.06979087707924,2842.971131689821,3527.961732107351,298.2406455540179,2970.8924560122773,3619.5765885676055,318.03592275012073,2985.7003918115515,3401.417041413954,Female,DIMEx100,1.134,1.197,textgrids/dime/s05349.TextGrid,0.06300000000000017,1.082,1.757,vinculación,False,False,b,n
